Касимов;28443
Кораблино;10334
Михайлов;10303
Новомичуринск;16900
Рыбное;21069
Ряжск;20634
Рязань;528599
Сасово;21628
Скопин;25238
Спас-Клепики;4743
Спасск-Рязанский;5796
Шацк;5927
Александро-Невский;3709
Гусь-Железный;1901
Елатьма;3286
Ермишь;3433
Кадом;5167
Лесной;7718
Милославское;4223
Октябрьский;5811
Павелец;2123
Пителино;1931
Побединка;1562
Пронск;4753
Сапожок;3072
Сараи;5011
Старожилово;4955
Сынтул;1554
Тума;5402
Ухолово;4008
Центральный;1164
Чучково;2650
Шилово;13917 
