"Населенный пункт","Убытие_в","Прибытие_из"
"Александро-Невский","Рязань","Рязань"
"Гусь-Железный","Владимир Касимов Москва Муром Нижний_Новгород Рязань","Владимир Касимов Москва Рязань Нижний_Новгород"
"Ермишь","нет","Рязань"
"Кадом","нет","Рязань"
"Касимов","Владимир Клетино Москва","Владимир Гусь-Железный Москва"
"Кораблино","нет","Рязань"
"Лесной","Рязань","Рязань"
"Милославское","Ряжск Рязань Чернава","Рязань Скопин Чернава"
"Михайлов","Брянск Москва Новомосковск Октябрьский Рязань Тула","Брянск Волжский Москва Новомосковск Рязань Скопин Тула Элиста"
"Новомичуринск","Милославское Москва Рязань Скопин Чернава","Милославское Москва Рязань Скопин Чернава"
"Октябрьский","нет","Рязань"
"Павелец","Клекотки","Скопин"
"Пителино","нет","нет"
"Побединка","нет","нет"
"Пронск","Милославское Новомичуринск Рязань Чернава","Милославское Новомичуринск Рязань Чернава Скопин"
"Рыбное","нет","Рязань"
"Ряжск","Александро-Невский Москва Рязань Тамбов","Милославское Москва Рязань Тамбов Ухолово"
"Рязань","",""
"Сапожок","Рязань Сараи ","Рязань Сараи"
"Сараи","Максы Рязань","Рязань"
"Сасово","Ермишь Рязань","Рязань"
"Скопин","Волжский Жердевка Клекотки Милославское Москва Новомичуринск Рязань Урюпинск Чернава","Милославское Москва Рязань Чернава"
"Спас-Клепики","Болонь Владимир Дунино Касимов Москва Муром Нижний_Новгород Рязань Тума Шатура","Владимир Касимов Москва Нижний_Новгород Рязань Тума Шатура"
"Спасск-Рязанский","Брыкин_Бор Веретье Выжелес Иванково Ижевское Кирицы Новики Рязань","Рязань"
"Старожилово","нет","Рязань"
"Сынтул","Рязань","Касимов Рязань"
"Тума","Болонь Владимир Касимов Москва Муром Нижний_Новгород Рязань","Владимир Гусь-Железный Касимов Москва Нижний_Новгород Рязань"
"Ухолово","Максы Покровское Ряжск Рязань Сараи","Рязань Сараи"
"Чучково","нет","нет"
"Шацк","Ермишь Кузнецк Моршанск Москва Пенза Рязань Сердобск Ямбирно","Москва Пенза Рязань Спасск"
"Шилово","Касимов Москва Рязань Шацк","Касимов Москва Путятино Шацк Рязань"
